"Date","Price","Open","High","Low","Vol.","Change %"
"25-02-2025","1,080.35","1,074.60","1,091.40","1,067.75","1.67M","0.93%"
"24-02-2025","1,070.40","1,083.25","1,083.25","1,065.70","1.67M","-1.19%"
"21-02-2025","1,083.25","1,111.70","1,119.10","1,080.00","2.36M","-2.56%"
"20-02-2025","1,111.70","1,074.20","1,126.00","1,074.00","3.71M","2.66%"
"19-02-2025","1,082.85","1,061.60","1,091.70","1,054.55","1.79M","-0.21%"
"18-02-2025","1,085.15","1,082.90","1,087.90","1,061.95","1.72M","0.21%"
"17-02-2025","1,082.90","1,058.95","1,089.30","1,040.00","2.52M","1.90%"
"14-02-2025","1,062.70","1,120.00","1,120.00","1,042.15","4.57M","-4.39%"
"13-02-2025","1,111.55","1,133.80","1,151.65","1,106.05","3.76M","-1.54%"
"12-02-2025","1,128.95","1,140.00","1,144.20","1,098.95","2.86M","-0.98%"
"11-02-2025","1,140.10","1,144.20","1,160.00","1,114.05","4.90M","-0.36%"
"10-02-2025","1,144.20","1,150.00","1,158.85","1,127.25","2.42M","-0.17%"
"07-02-2025","1,146.10","1,160.00","1,175.65","1,132.80","4.08M","-1.54%"
"06-02-2025","1,164.05","1,155.60","1,169.40","1,140.10","6.26M","1.72%"
"05-02-2025","1,144.35","1,126.00","1,154.90","1,123.55","2.98M","1.71%"
"04-02-2025","1,125.10","1,100.00","1,127.90","1,091.75","4.07M","3.71%"
"03-02-2025","1,084.85","1,084.00","1,094.00","1,055.00","3.96M","0.07%"
"01-02-2025","1,084.10","1,105.90","1,117.50","1,063.00","4.92M","-1.39%"
"31-01-2025","1,099.35","1,085.00","1,109.25","1,074.00","4.66M","2.07%"
"30-01-2025","1,077.05","1,103.90","1,118.50","1,010.75","14.10M","-1.81%"
"29-01-2025","1,096.95","1,085.00","1,102.85","1,074.50","4.60M","1.50%"
"28-01-2025","1,080.70","1,087.00","1,096.65","1,061.25","2.40M","-0.12%"
"27-01-2025","1,082.00","1,085.10","1,093.60","1,067.55","2.37M","-1.11%"
"24-01-2025","1,094.15","1,104.15","1,115.00","1,088.25","2.40M","-0.89%"
"23-01-2025","1,104.00","1,102.25","1,114.25","1,089.65","1.97M","0.16%"
"22-01-2025","1,102.25","1,115.50","1,118.05","1,080.45","1.91M","-0.36%"
"21-01-2025","1,106.20","1,150.00","1,154.25","1,104.00","3.13M","-3.70%"
"20-01-2025","1,148.70","1,172.00","1,172.00","1,146.50","1.31M","-1.27%"
"17-01-2025","1,163.50","1,163.00","1,173.65","1,145.50","2.46M","1.11%"
"16-01-2025","1,150.75","1,179.95","1,190.00","1,145.40","4.00M","1.94%"
"15-01-2025","1,128.90","1,125.00","1,141.95","1,118.50","3.14M","1.06%"
"14-01-2025","1,117.10","1,078.85","1,131.40","1,075.05","6.28M","4.73%"
"13-01-2025","1,066.65","1,100.90","1,106.45","1,058.95","2.27M","-4.10%"
"10-01-2025","1,112.20","1,134.90","1,137.40","1,106.30","1.90M","-1.78%"
"09-01-2025","1,132.35","1,156.70","1,156.70","1,129.95","1.88M","-1.73%"
"08-01-2025","1,152.30","1,183.55","1,183.55","1,141.10","2.90M","-1.85%"
"07-01-2025","1,174.00","1,163.05","1,182.15","1,162.05","2.01M","0.94%"
"06-01-2025","1,163.05","1,199.55","1,200.90","1,158.05","2.30M","-3.04%"
"03-01-2025","1,199.55","1,234.50","1,237.60","1,197.00","3.04M","-2.16%"
"02-01-2025","1,226.00","1,223.80","1,228.40","1,208.10","3.77M","0.60%"
"01-01-2025","1,218.70","1,223.00","1,231.80","1,206.35","1.94M","-1.01%"
"31-12-2024","1,231.10","1,222.00","1,236.80","1,208.15","1.72M","1.03%"
"30-12-2024","1,218.50","1,233.75","1,258.80","1,212.00","8.31M","-0.99%"
"27-12-2024","1,230.70","1,248.45","1,250.95","1,225.75","2.60M","-1.07%"
"26-12-2024","1,243.95","1,187.00","1,249.00","1,182.55","3.83M","5.22%"
"24-12-2024","1,182.20","1,198.00","1,203.10","1,180.00","1.38M","-0.81%"
"23-12-2024","1,191.80","1,189.95","1,199.00","1,174.25","1.54M","0.79%"
"20-12-2024","1,182.45","1,205.00","1,215.90","1,176.20","3.05M","-1.87%"
"19-12-2024","1,205.00","1,187.50","1,209.00","1,185.00","1.54M","-0.42%"
"18-12-2024","1,210.05","1,236.00","1,238.90","1,207.25","1.93M","-1.77%"
